City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto carreno,6.189,-67.4859,30.99,74,20,1.03,CO,1699722223
83,san jose del guaviare,2.5729,-72.6459,28.65,81,79,0.43,CO,1699722224
84,al kharijah,25.4514,30.5464,29.88,36,100,2.01,EG,1699722224
85,ocos,14.5094,-92.1933,32.1,71,63,2.87,GT,1699722225
86,westport,41.1415,-73.3579,12.96,50,75,4.63,US,1699722226
87,selfoss,63.9331,-20.9971,1.69,82,97,3.35,IS,1699722227
88,lebowakgomo,-24.2,29.5,29.5,23,0,2.36,ZA,1699722227
89,uturoa,-16.7333,-151.4333,27.25,79,96,4.71,PF,1699722228
90,zhob,31.3411,69.4481,15.17,22,0,1.01,PK,1699722228
91,arraial do cabo,-22.9661,-42.0278,31.98,74,0,6.69,BR,1699722155
92,lucelia,-21.7203,-51.0189,38.84,14,15,4.12,BR,1699722230
93,sinabang,2.4803,96.3801,25.78,85,92,1.06,ID,1699722230
94,ararangua,-28.9347,-49.4858,30.44,60,74,1.98,BR,1699722141
95,margaret river,-33.95,115.0667,12.18,69,82,6.67,AU,1699722231
96,buka,40.8108,69.1986,11.46,59,100,5.93,UZ,1699722232
97,sona,45.4388,10.8255,9.75,84,20,1.54,IT,1699722233
98,herkimer,43.0256,-74.986,5.45,71,7,0.45,US,1699722006
99,namdrik,5.5994,168.1028,26.27,91,100,3.97,MH,1699722234
100,buenos aires,-34.6132,-58.3772,26.11,54,0,2.57,AR,1699721700
101,nakamura,32.9833,132.9333,13.16,87,90,2.09,JP,1699722235
102,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,7.72,EC,1699722236
103,iqaluit,63.7506,-68.5145,-7.15,79,75,5.66,CA,1699722089
104,kidal,18.4411,1.4078,32.41,6,1,4.1,ML,1699722238
105,kirakira,-10.4544,161.9205,26.17,88,100,3.95,SB,1699722238
106,sirjan,29.452,55.6814,15.88,25,82,2.17,IR,1699722239
107,tabou,4.423,-7.3528,26.64,85,44,4.27,CI,1699722240
108,acapulco de juarez,16.8634,-99.8901,30.18,66,55,1.11,MX,1699722240
109,taulaga,-11.0553,-171.0883,28.06,77,50,3.27,AS,1699722241
110,ust-nera,64.5667,143.2,-33.01,99,64,1.95,RU,1699722242
111,georgetown,5.4112,100.3354,26.12,92,20,3.09,MY,1699722243
112,vadso,70.0744,29.7487,-2.91,80,40,7.2,NO,1699722244
113,troitsko-pechorsk,62.7084,56.1964,-4.61,98,92,1.34,RU,1699722245
114,chibougamau,49.9168,-74.3659,-3.21,74,100,5.14,CA,1699722246
115,juan griego,11.0817,-63.9655,30.12,66,94,6.9,VE,1699722247
116,san luis de la loma,17.2706,-100.8939,30.09,67,36,1.54,MX,1699722248
117,verkhnevilyuysk,63.4453,120.3167,-7.37,85,100,5.1,RU,1699722249
118,fortuna,40.5982,-124.1573,11.19,98,100,0.0,US,1699722250
119,pombas,17.1503,-25.0201,27.88,67,26,4.74,CV,1699722250
120,pangai,-19.8,-174.35,24.12,83,100,12.31,TO,1699722251
121,enewetak,11.3474,162.3373,27.99,77,90,6.65,MH,1699722252
122,port-gentil,-0.7193,8.7815,24.48,93,100,4.14,GA,1699722252
123,gaoual,11.75,-13.2,33.63,38,83,1.72,GN,1699722255
124,dudinka,69.4058,86.1778,-11.55,98,100,2.91,RU,1699722255
125,liwale,-9.7667,37.9333,27.4,55,85,3.69,TZ,1699722256
126,hithadhoo,-0.6,73.0833,27.15,83,22,5.33,MV,1699722257
127,alice springs,-23.7,133.8833,27.75,47,16,5.66,AU,1699722258
128,tsiombe,-25.3,45.4833,21.37,65,0,6.84,MG,1699722259
129,yanykurgan,43.915,67.2481,7.82,56,71,3.43,KZ,1699722260
130,aras-asan,8.8908,126.3033,25.7,86,54,1.72,PH,1699722261
131,afaahiti,-17.75,-149.2833,26.93,81,84,6.46,PF,1699722262
132,atafu village,-8.5421,-172.5159,28.73,74,36,4.45,TK,1699722262
133,berekum,7.4534,-2.584,25.35,91,59,1.92,GH,1699722263
134,jamestown,42.097,-79.2353,7.23,74,100,3.6,US,1699722182
135,camayenne,9.535,-13.6878,28.05,89,75,4.12,GN,1699722101
136,hasaki,35.7333,140.8333,10.22,65,100,6.59,JP,1699722265
137,papayal,-4.0761,-80.7361,32.66,41,30,4.2,PE,1699722266
138,port macquarie,-31.4333,152.9167,15.5,99,32,1.33,AU,1699722042
139,ylitornio,66.3089,23.6773,-13.38,100,61,1.87,FI,1699722267
140,flin flon,54.7682,-101.865,-1.09,86,0,5.66,CA,1699722221
141,rengasdengklok,-6.1592,107.2981,26.07,77,83,1.27,ID,1699722208
142,selibaby,15.159,-12.1829,36.83,11,47,1.33,MR,1699722269
143,saint-philippe,-21.3585,55.7679,24.77,84,76,4.85,RE,1699722270
144,ulan bator,47.9077,106.8832,-17.93,65,0,1.0,MN,1699722230
145,new norfolk,-42.7826,147.0587,9.72,93,51,1.46,AU,1699722272
146,cole harbour,44.6724,-63.4751,6.66,73,97,4.92,CA,1699722272
147,tezu,27.9167,96.1667,19.28,49,0,1.92,IN,1699722273
148,chonchi,-42.6128,-73.8092,9.51,83,70,4.62,CL,1699722216
149,el jadid,33.2549,-8.506,20.82,86,12,6.93,MA,1699722274
150,ad dabbah,18.05,30.95,31.76,20,56,3.79,SD,1699722275
151,kenai,60.5544,-151.2583,-2.7,98,20,1.54,US,1699722277
152,cacimba de dentro,-6.6417,-35.79,30.98,32,13,7.29,BR,1699722263
153,port isabel,26.0734,-97.2086,16.15,94,100,6.17,US,1699722279
